City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Talara,35,PE,1573180153,89,-4.58,-81.27,66.0,19.8
Butaritari,30,KI,1573180163,67,3.07,172.79,84.27,6.17
Rikitea,93,PF,1573180173,85,-23.12,-134.97,74.07,13.06
Busselton,0,AU,1573180184,52,-33.64,115.35,70.32,8.95
Ushuaia,75,AR,1573180194,96,-54.81,-68.31,35.6,24.16
Shelburne,90,CA,1573179966,92,44.08,-80.2,30.2,3.36
Acapulco,5,MX,1573180234,79,16.86,-99.88,84.2,6.93
Mataura,37,NZ,1573180244,39,-46.19,168.86,68.45,11.21
Lompoc,1,US,1573180254,82,34.64,-120.46,57.2,4.7
Punta Arenas,40,CL,1573180264,80,-53.16,-70.91,39.2,17.22
Saint George,90,GR,1573180274,93,39.45,22.34,57.2,11.41
Quatre Cocos,40,MU,1573180284,78,-20.21,57.76,75.2,12.75
Port Hardy,75,CA,1573180204,81,50.7,-127.42,50.0,9.17
Margate,75,AU,1573180304,66,-43.03,147.26,48.2,21.92
Mar del Plata,0,AR,1573180314,33,-46.43,-67.52,51.98,25.19
Huarmey,71,PE,1573180324,82,-10.07,-78.15,61.29,1.48
Yenagoa,100,NG,1573180334,95,4.92,6.26,75.87,2.89
Hofn,99,IS,1573180227,70,64.25,-15.21,39.24,6.35
Bluff,0,AU,1573180198,11,-23.58,149.07,96.24,11.68
Hermanus,5,ZA,1573180365,81,-34.42,19.24,59.38,11.3
Uray,46,RU,1573180375,81,60.13,64.8,15.15,10.63
Albany,90,US,1573180212,86,42.65,-73.75,37.4,6.93
San Patricio,0,PY,1573180395,96,-26.98,-56.83,70.59,4.03
Barrow,2,AR,1573180405,91,-38.31,-60.23,43.27,6.91
Kavieng,91,PG,1573180415,72,-2.57,150.8,84.25,10.69
Carnarvon,23,ZA,1573180425,75,-30.97,22.13,46.31,15.48
Vaini,20,IN,1573180409,88,15.34,74.49,71.6,1.79
Cape Town,8,ZA,1573180445,76,-33.93,18.42,57.2,9.17
Jamestown,57,AU,1573180455,36,-33.21,138.6,58.96,22.77
Kruisfontein,92,ZA,1573180465,86,-34.0,24.73,56.97,12.44
Clyde River,90,CA,1573180430,92,70.47,-68.59,21.2,13.87
Waddan,0,LY,1573180496,72,29.16,16.14,60.26,2.84
Wanning,75,AT,1573180506,100,48.64,13.53,39.2,5.82
Tabas,0,IR,1573180516,19,33.6,56.92,46.4,4.7
Mugumu,73,TZ,1573180526,79,-1.84,34.67,63.75,3.67
Lagoa,0,PT,1573180536,76,37.14,-8.45,55.4,8.05
Paamiut,100,GL,1573180546,58,61.99,-49.67,39.47,16.91
Lazaro Cardenas,90,MX,1573180556,82,28.39,-105.62,62.6,6.93
Santa Maria,20,BR,1573180566,83,-16.02,-48.01,71.6,3.36
Torbay,75,CA,1573180586,74,47.66,-52.73,35.6,11.41
Castro,97,CL,1573180410,94,-42.48,-73.76,35.65,2.89
Buala,97,SB,1573180606,73,-8.15,159.59,82.98,3.2
Richards Bay,100,ZA,1573180616,83,-28.77,32.06,68.85,22.24
Victoria,75,BN,1573180626,79,5.28,115.24,84.2,3.36
Kapaa,75,US,1573180425,61,22.08,-159.32,82.4,12.75
Northam,0,AU,1573180657,27,-31.65,116.67,77.0,13.87
Bainbridge,90,US,1573180427,88,30.9,-84.58,69.8,3.24
Ouesso,71,CG,1573180677,94,1.61,16.05,68.97,0.51
Wilmington Island,90,US,1573180687,100,32.0,-80.97,68.0,2.42
Young,0,UY,1573180697,81,-32.7,-57.63,62.13,3.58
Ribeira Grande,80,PT,1573180707,82,38.52,-28.7,62.08,5.23
Maposeni,20,TZ,1573180717,88,-10.58,35.4,68.0,9.17
Tarakan,75,ID,1573180489,83,3.3,117.63,80.6,8.05
Teluknaga,20,ID,1573180737,62,-6.1,106.64,86.0,4.7
Makakilo City,75,US,1573180747,73,21.35,-158.09,82.4,8.05
Namibe,95,AO,1573180757,85,-15.19,12.15,74.12,8.59
Taoudenni,37,ML,1573180767,25,22.68,-3.98,65.95,2.42
Hithadhoo,0,MV,1573180778,70,-0.6,73.08,82.29,7.47
Kaitangata,62,NZ,1573180788,73,-46.28,169.85,56.43,18.48
Biak,47,ID,1573180798,70,-0.91,122.88,81.64,5.88
Khatanga,0,RU,1573180808,86,71.98,102.47,-12.3,10.98
Pevek,100,RU,1573180818,61,69.7,170.27,24.57,14.99
San Cristobal,12,HN,1573180828,96,14.68,-86.92,65.25,1.23
